ID,bGenuine
1230,0
1231,0
1232,1
1233,1
1234,1
1235,0
1236,1
1237,0
1238,1
1239,0
1240,1
1241,0
1242,1
1243,1
1244,0
1245,0
1246,0
1247,1
1248,1
1249,1
1250,0
1251,1
1252,1
1253,1
1254,1
1255,0
1256,1
1257,0
1258,1
1259,1
1260,0
1261,1
1262,0
1263,1
1264,1
1265,0
1266,0
1267,0
1268,1
1269,1
1270,0
1271,0
1272,0
1273,0
1274,0
1275,1
1276,0
1277,0
1278,0
1279,1
1280,1
1281,0
1282,1
1283,0
1284,0
1285,0
1286,1
1287,0
1288,0
1289,1
1290,0
1291,1
1292,1
1293,1
1294,1
1295,0
1296,0
1297,1
1298,0
1299,0
1300,1
1301,0
1302,1
1303,0
1304,1
1305,0
1306,0
1307,1
1308,1
1309,0
1310,0
1311,0
1312,1
1313,0
1314,1
1315,1
1316,0
1317,1
1318,0
1319,1
1320,1
1321,1
1322,0
1323,0
1324,1
1325,0
1326,0
1327,1
1328,0
1329,1
1330,0
1331,1
1332,1
1333,1
1334,1
1335,0
1336,0
1337,0
1338,0
1339,1
1340,0
1341,1
1342,1
1343,0
1344,1
1345,0
1346,0
1347,0
1348,1
1349,1
1350,1
1351,1
1352,1
1353,0
1354,0
1355,1
1356,0
1357,0
1358,1
1359,0
1360,1
1361,0
1362,1
1363,0
1364,0
1365,1
1366,0
1367,0
1368,1
1369,0
1370,0
1371,1
1372,1
1373,0
1374,1
1375,1
1376,1
1377,1
1378,0
1379,1
1380,1
1381,0
1382,1
1383,0
1384,0
1385,0
1386,0
1387,1
1388,1
1389,1
1390,0
1391,1
1392,0
1393,0
1394,1
1395,0
1396,1
1397,0
1398,1
1399,1
1400,0
1401,1
1402,0
1403,1
1404,0
1405,0
1406,0
1407,0
1408,1
1409,0
1410,1
1411,0
1412,0
1413,1
1414,1
1415,1
1416,1
1417,0
1418,0
1419,1
1420,1
1421,1
1422,1
1423,1
1424,1
1425,1
1426,1
1427,0
1428,1
1429,1
1430,1
1431,0
1432,0
1433,0
1434,1
1435,1
1436,0
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,1
1444,1
1445,1
1446,1
1447,1
1448,1
1449,1
1450,0
1451,0
1452,1
1453,1
1454,0
1455,1
1456,1
1457,0
1458,0
1459,0
1460,0
1461,1
1462,1
1463,1
1464,1
1465,0
1466,1
1467,1
1468,0
1469,0
1470,1
1471,1
1472,1
1473,0
1474,0
1475,1
1476,1
1477,1
1478,1
1479,1
1480,0
1481,1
1482,0
1483,0
1484,0
1485,1
1486,0
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,1
1494,1
1495,0
1496,0
1497,1
1498,0
1499,0
1500,1
1501,0
1502,1
1503,0
1504,0
1505,0
1506,0
1507,1
1508,0
1509,1
1510,1
1511,0
1512,1
1513,0
1514,0
1515,1
1516,1
1517,0
1518,0
1519,0
1520,1
1521,0
1522,0
1523,0
1524,0
1525,1
1526,0
1527,1
1528,1
1529,0
1530,1
1531,1
1532,0
1533,0
1534,0
1535,0
1536,0
1537,1
1538,1
1539,0
1540,1
1541,1
1542,0
1543,0
1544,0
1545,1
1546,1
1547,1
1548,0
1549,1
1550,0
1551,1
1552,1
1553,0
1554,0
1555,0
1556,0
1557,1
1558,0
1559,0
1560,0
1561,1
1562,0
1563,0
1564,0
1565,0
1566,0
1567,1
1568,1
1569,0
1570,1
1571,0
1572,1
1573,0
1574,0
1575,1
1576,0
1577,1
1578,0
1579,0
1580,1
1581,1
1582,1
1583,0
1584,0
1585,0
1586,1
1587,0
1588,0
1589,0
1590,1
1591,0
1592,1
1593,1
1594,1
1595,1
1596,0
1597,1
1598,1
1599,1
